con_code,weight
300979.SZ,0.22
002236.SZ,0.23
605117.SH,0.24
000975.SZ,0.25
000999.SZ,0.32
000786.SZ,0.32
601808.SH,0.34
002938.SZ,0.38
600066.SH,0.41
600219.SH,0.47
603833.SH,0.5
600803.SH,0.54
601888.SH,0.57
000895.SZ,0.58
002027.SZ,0.59
002001.SZ,0.6
000792.SZ,0.62
000807.SZ,0.66
600585.SH,0.68
000876.SZ,0.69
600406.SH,0.8
601898.SH,0.88
603259.SH,0.91
000708.SZ,0.98
300498.SZ,1.03
600031.SH,1.1
000338.SZ,1.11
600482.SH,1.29
600887.SH,1.45
601877.SH,1.46
600019.SH,1.46
000568.SZ,1.47
600690.SH,1.51
601816.SH,1.69
601600.SH,2.16
002352.SZ,2.17
601225.SH,2.2
603993.SH,2.45
002714.SZ,2.58
601899.SH,2.89
300750.SZ,6.07
000333.SZ,4.69
601857.SH,9.9
601088.SH,4.43
601919.SH,4.09
603400.SH,0.0
600938.SH,8.57
600941.SH,9.85
601728.SH,3.99
000858.SZ,3.97
000651.SZ,3.63
