code,name,industry,total_ret,cagr,price_chg,div_contrib,div_ratio,div_amplify,buy_price,last_price,div_total,max_yr_loss
600027.SH,华电国际,火力发电,71.15666617373024,5.52375520534929,13.50311843290215,57.653547740828095,45.765628799999995,50.82240762812873,4.766388866397661,5.41,45765.6288,-19.770265020928957
601166.SH,兴业银行,银行,207.8628862464367,11.904252069609257,83.6834261342283,124.17946011220839,97.61379405,67.61796826705131,10.3003305187557,18.92,97613.79405,-3.0630734690547223
601009.SH,南京银行,银行,528.2983674002231,20.178685379763174,215.77218244374095,312.5261849564822,198.79750962,99.02919055034624,3.3125147120467426,10.46,198797.50962,-18.9848449304699
601288.SH,农业银行,银行,353.3579724876543,16.32015751228999,144.53911872348303,208.81885376417128,117.96410210000002,85.4471977028608,2.1264491452919616,5.2,117964.1021,-7.55416940681144
601939.SH,建设银行,银行,288.7241081959099,14.544701160277217,119.04820799732208,169.67590019858778,107.56711105999999,77.50843335686828,3.921511195428275,8.59,107567.11106,-7.925277418355991
601601.SH,中国太保,保险,89.48501259444768,6.602733630391189,37.71897801667641,51.76603457777127,41.005790000000005,37.570356472795496,23.446296556230617,32.29,41005.79,-27.46986615985473
000625.SZ,长安汽车,汽车整车,158.46718969753007,9.964219821354936,67.03049426001395,91.43669543751612,48.3430695,54.76504854368931,7.76504916510023,12.97,48343.0695,-39.1564024269494
601398.SH,工商银行,银行,322.2208073297402,15.495435013711912,137.39293219880975,184.82787513093044,119.27224033699999,77.9038450518595,2.8644492222309283,6.800000000000001,119272.240337,-5.369186888686706
600066.SH,宇通客车,汽车整车,486.084193029968,19.345722161225254,207.26741684301277,278.8167761869552,150.32944,90.7746597210553,8.399849312101546,25.81,150329.44,-47.21009590972089
000538.SZ,云南白药,中成药,130.20183432488267,8.698044798317795,60.1999837386471,70.00185058623558,60.472189668,43.53026458861906,36.23595873436774,58.05,60472.189668,-24.360933825711395
000708.SZ,中信特钢,特种钢,351.1600157044452,16.26364004826353,162.77273468916144,188.38728101528375,173.34054630320003,71.73288757447173,4.285071665947251,11.26,173340.5463032,-16.146568961713303
600089.SH,特变电工,电气设备,138.11255171796338,9.065924270123716,67.28496766477316,70.82758405319022,52.3936257,42.34720271968073,7.388589765440572,12.36,52393.625700000004,-25.87954915503621
600039.SH,四川路桥,建筑工程,300.17542454102386,14.877743780476527,149.30572039448475,150.8697041465391,113.23726249999999,60.56011671482106,2.8599423987215227,7.13,113237.2625,-15.758609261231271
000651.SZ,格力电器,家用电器,781.9686755618528,24.324342564262725,390.7242218892013,391.2444536726515,283.38694499999997,79.73930291867384,9.44318579213376,46.34,283386.945,-31.174049832858408
002142.SZ,宁波银行,银行,441.03665218054095,18.395044351378754,220.85278192462528,220.18387025591568,156.95813225,68.64513267795107,7.389681915106459,23.71,156958.13225,-35.44760277345701
601919.SH,中远海控,水运,616.6156823742173,21.769770236700214,313.50349790555117,303.1121844686661,192.30083,73.35029994546447,3.6347939197924313,15.029999999999998,192300.83,-41.906152898169445
601225.SH,陕西煤业,煤炭开采,785.3587346925161,24.3720472473284,403.6794829907445,381.67925170177165,212.03713375,75.81726354453626,4.590220721860304,23.12,212037.13375,-33.020265192703
000338.SZ,潍柴动力,汽车配件,369.4996152988045,16.72782129747965,191.6452096921872,177.8544056066173,108.32808625000001,61.00343132708894,4.635769610023594,13.52,108328.08625000001,-39.9591982710601
002027.SZ,分众传媒,广告包装,590.4112689028184,21.31699463715271,312.3251349460536,278.0861339567648,182.133321,67.48614727284865,1.6685861270378635,6.88,182133.321,-53.431299560114965
600176.SH,中国巨石,玻璃,405.1733487527085,17.58580561702219,216.877999244556,188.29534950815247,112.91389067499999,59.46030098598858,3.458744383052429,10.96,112913.890675,-24.17261657271572
601318.SH,中国平安,保险,194.8097386011472,11.42048335696959,106.28912739933752,88.52061120180967,84.0253085,42.758790263093196,24.58200324917505,50.71,84025.3085,-37.43707436848808
002001.SZ,新和成,化学制药,619.602102510682,21.82042157138706,340.8601046656921,278.7419978449899,144.0552145,63.25891108499804,4.894976835421362,21.58,144055.2145,-22.43765771957006
000963.SZ,华东医药,化学制药,293.7329588487624,14.691447261504841,166.18394914716666,127.54900970159574,63.165919800000005,47.892242454477426,12.468820943688852,33.19,63165.9198,-20.395407169389436
600036.SH,招商银行,银行,425.18476474010447,18.043497041156755,252.57014316987306,172.6146215702314,128.10984005,48.96755162241888,10.922649222014627,38.51,128109.84005,-16.645306441370554
601238.SH,广汽集团,汽车整车,114.57842869253625,7.936780937300347,68.34651464487405,46.2319140476622,52.4852392,27.419526187187927,5.310475253294596,8.94,52485.2392,-34.2670431322732
