rb_date,next_rb,our_ret,idx_ret,diff,our_nav
2016-06-13,2016-09-12,9.5458,7.6,1.9458,1.0955
2016-09-12,2016-12-12,5.764,5.5774,0.1866,1.1586
2016-12-12,2017-03-13,6.39,6.192,0.198,1.2326
2017-03-13,2017-06-12,15.361,13.789,1.572,1.422
2017-06-12,2017-09-11,4.8625,3.1486,1.7139,1.4911
2017-09-11,2017-12-11,10.3542,10.1934,0.1608,1.6455
2017-12-11,2018-03-12,3.5184,4.6971,-1.1787,1.7034
2018-03-12,2018-06-11,-3.3563,-3.2496,-0.1067,1.6462
2018-06-11,2018-09-17,-7.7632,-9.12,1.3568,1.5184
2018-09-17,2018-12-17,-3.0921,-3.8531,0.761,1.4715
2018-12-17,2019-03-11,11.8268,10.425,1.4018,1.6455
2019-03-11,2019-06-17,-1.6232,-4.6572,3.034,1.6188
2019-06-17,2019-09-16,5.1972,2.2681,2.9291,1.7029
2019-09-16,2019-12-16,-0.4859,-0.1506,-0.3353,1.6947
2019-12-16,2020-03-16,-10.1049,-10.0484,-0.0565,1.5234
2020-03-16,2020-06-15,1.6594,1.9474,-0.288,1.5487
2020-06-15,2020-09-14,15.9256,15.614,0.3116,1.7953
2020-09-14,2020-12-14,5.2938,5.2855,0.0083,1.8904
2020-12-14,2021-03-15,6.4948,7.5492,-1.0544,2.0132
2021-03-15,2021-06-14,4.8645,6.8727,-2.0082,2.1111
2021-06-14,2021-09-13,12.0399,8.6259,3.414,2.3653
2021-09-13,2021-12-13,-6.0838,-7.7373,1.6535,2.2214
2021-12-13,2022-03-14,-4.8651,-5.0157,0.1506,2.1133
2022-03-14,2022-06-13,5.2797,4.5482,0.7315,2.2249
2022-06-13,2022-09-12,3.1331,-1.2061,4.3392,2.2946
2022-09-12,2022-12-12,-1.5475,-3.3259,1.7784,2.2591
2022-12-12,2023-03-13,8.4881,4.6708,3.8173,2.4508
2023-03-13,2023-06-12,1.6756,1.2129,0.4627,2.4919
2023-06-12,2023-09-11,3.7138,-1.3397,5.0535,2.5844
2023-09-11,2023-12-11,-4.9023,-5.7352,0.8329,2.4577
2023-12-11,2024-03-11,19.5609,20.0794,-0.5185,2.9385
2024-03-11,2024-06-17,4.2029,3.5675,0.6354,3.062
2024-06-17,2024-09-16,-6.7577,-8.5533,1.7956,2.8551
2024-09-16,2024-12-16,18.2316,17.9901,0.2415,3.3756
2024-12-16,2025-03-17,-3.2552,-3.7881,0.5329,3.2657
2025-03-17,2025-06-16,1.846,1.8489,-0.0029,3.326
2025-06-16,2025-09-15,10.2091,7.5069,2.7022,3.6656
2025-09-15,2025-12-15,3.008,2.5116,0.4964,3.7758
2025-12-15,2026-03-16,11.6594,12.6169,-0.9575,4.2161
2026-03-16,2026-06-04,-9.2429,-8.2929,-0.95,3.8264
